,revenue,cogs,gross_profit,operating_income,net_income,rnd,admin_expense,marketing_expense,revenue_budget,cogs_budget,rnd_budget,admin_budget,mkt_budget,operating_income_budget,revenue_var_pct,operating_income_var_pct
2015-06-27,49605000.0,29924000.0,19681000.0,14083000.0,10677000.0,2034000.0,3564000.0,0.0,60910500.0,37681068.61637072,3700347.1840736074,4287267.965907848,0.0,15241816.23364782,-18.560839264166276,-7.6028749847384836
2015-09-26,51501000.0,30953000.0,20548000.0,14623000.0,11124000.0,2220000.0,3705000.0,0.0,52085250.0,32221503.339339245,3164208.2755726823,3666090.802428182,0.0,13033447.58265989,-1.1217187207510764,12.195947444135191
2015-12-26,75872000.0,45449000.0,30423000.0,24171000.0,18361000.0,2404000.0,3848000.0,0.0,54076050.0,33453072.139488164,3285150.49693113,3806215.9543564925,0.0,13531611.409224212,40.30610593784124,78.62617591518436
2016-03-26,50557000.0,30636000.0,19921000.0,13987000.0,10516000.0,2511000.0,3423000.0,0.0,79665600.0,49283537.977267355,4839730.073263794,5607371.058599557,0.0,19934960.890869293,-36.538480849952805,-29.836832504615586
2016-06-25,42358000.0,26252000.0,16106000.0,10105000.0,7796000.0,2560000.0,3441000.0,0.0,53084850.0,32839885.98582752,3224934.538617641,3736449.00107573,0.0,13283580.474479109,-20.20698937644168,-23.928642436321375
2016-09-24,46852000.0,29039000.0,17813000.0,11761000.0,9014000.0,2570000.0,3482000.0,0.0,44475900.0,27514130.399107587,2701935.9769520746,3130496.4057908063,0.0,11129337.218149533,5.342443885340151,5.675654978091251
2016-12-31,78351000.0,48175000.0,30176000.0,23359000.0,17891000.0,2871000.0,3946000.0,0.0,49194600.0,30433260.245030183,2988599.6598554845,3462628.4905829085,0.0,12310111.604531422,59.26748057713651,89.75457534764686
2017-04-01,52896000.0,32305000.0,20591000.0,14097000.0,11029000.0,2776000.0,3718000.0,0.0,82268550.0,50893801.19223,4997860.751928137,5790583.216632406,0.0,20586304.839209456,-35.70325476746582,-31.522436347341365
2017-07-01,45408000.0,27920000.0,17488000.0,10768000.0,8717000.0,2937000.0,3783000.0,0.0,55540800.0,34359210.5763066,3374134.8844812536,3909314.365189822,0.0,13898140.174022326,-18.24388557600899,-22.522007512005235
2017-09-30,52579000.0,32648000.0,19931000.0,13120000.0,10714000.0,2997000.0,3814000.0,0.0,47678400.0,29495293.289642505,2896489.655825105,3355908.701878014,0.0,11930708.352654375,10.278448941239638,9.968323859672825
2017-12-30,88293000.0,54381000.0,33912000.0,26274000.0,20065000.0,3407000.0,4231000.0,0.0,55207950.0,34153299.54801165,3353914.0594967455,3885886.267530922,0.0,13814850.12496068,59.92805384007195,90.18664525739675
2018-03-31,61137000.0,37715000.0,23422000.0,15894000.0,13822000.0,3378000.0,4150000.0,0.0,92707650.0,57351742.65377039,5632041.956962782,6525353.3962058555,0.0,23198511.993060976,-34.05398583612032,-31.48698500682227
2018-06-30,53265000.0,32844000.0,20421000.0,12612000.0,11519000.0,3701000.0,4108000.0,0.0,64193850.0,39712247.750371605,3899812.545987039,4518370.998650373,0.0,16063418.704990983,-17.02476171782811,-21.486202709256467
2018-09-29,62900000.0,38816000.0,24084000.0,16118000.0,14125000.0,3750000.0,4216000.0,0.0,55928250.0,34598898.80798115,3397672.6902203187,3936585.5577328317,0.0,13995092.944065701,12.465525025367324,15.168938601686591
2018-12-29,84310000.0,52279000.0,32031000.0,23346000.0,19965000.0,3902000.0,4783000.0,0.0,66045000.0,40857424.857261136,4012270.951184794,4648666.696355864,0.0,16526637.495198205,27.65538647891589,41.26285523466677
2019-03-30,58015000.0,36194000.0,21821000.0,13415000.0,11561000.0,3948000.0,4458000.0,0.0,88525500.0,54764538.78721282,5377973.988782034,6230987.109217216,0.0,22152000.114787932,-34.465210589039316,-39.44113429719335
2019-06-29,53809000.0,33582000.0,20227000.0,11544000.0,10044000.0,4257000.0,4426000.0,0.0,60915750.0,37684316.42438799,3700666.124530776,4287637.49426209,0.0,15243129.956819141,-11.666523025654286,-24.26752226936374
2019-09-28,64040000.0,39727000.0,24313000.0,15625000.0,13686000.0,4110000.0,4578000.0,0.0,56499450.0,34952260.32026017,3432373.4119602954,3976790.242674288,0.0,14138026.02510525,13.346236113802878,10.517550132205821
2019-12-28,91819000.0,56602000.0,35217000.0,25569000.0,22236000.0,4451000.0,5197000.0,0.0,67242000.0,41597925.085198775,4084989.375419304,4732919.161122886,0.0,16826166.378259033,36.55007287112221,51.95974784272619
2020-03-28,58313000.0,35943000.0,22370000.0,12853000.0,11249000.0,4565000.0,4952000.0,0.0,96409950.0,59642096.86754944,5856958.767358293,6785944.791616838,0.0,24124949.573475428,-39.51557904552383,-46.72320470202582
